Vendor Name,Vendor Style Number ,Style Code,UPC,WHSEDESC,Vendor Color Name,Size, S&B Pricing  , Pricing with Customer Discount  ,Customer discount + Embroidery ,Embroidery Design ,Personalization?,Department,Ordering Note,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_T1_NVY-NAVY,619159994568,Classic Women's Drawstring Scrub Pant,Navy,T3X, $25.99 , $19.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_T1_PEW-PEWTER,619159993929,Classic Women's Drawstring Scrub Pant,Pewter,T2X, $25.99 , $19.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,1120,1120_T1_PEW-PEWTER,619159993936,Classic Women's Drawstring Scrub Pant,Pewter,T3X, $25.99 , $19.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3110,3110_R_NVY-NAVY,619159989434,Classic Unisex V-Neck Scrub Top,Navy,XS, $19.99 , $14.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3110,3110_R_NVY-NAVY,619159989441,Classic Unisex V-Neck Scrub Top,Navy,S, $19.99 , $14.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3110,3110_R_NVY-NAVY,619159989458,Classic Unisex V-Neck Scrub Top,Navy,M, $19.99 , $14.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3110,3110_R_NVY-NAVY,619159989465,Classic Unisex V-Neck Scrub Top,Navy,L, $19.99 , $14.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3110,3110_R_NVY-NAVY,619159989472,Classic Unisex V-Neck Scrub Top,Navy,XL, $19.99 , $14.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3110,3110_R_PEW-PEWTER,619159992267,Classic Unisex V-Neck Scrub Top,Pewter,XS, $19.99 , $14.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3110,3110_R_PEW-PEWTER,619159992274,Classic Unisex V-Neck Scrub Top,Pewter,S, $19.99 , $14.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3110,3110_R_PEW-PEWTER,619159992281,Classic Unisex V-Neck Scrub Top,Pewter,M, $19.99 , $14.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3110,3110_R_PEW-PEWTER,619159992298,Classic Unisex V-Neck Scrub Top,Pewter,L, $19.99 , $14.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3110,3110_R_PEW-PEWTER,619159992304,Classic Unisex V-Neck Scrub Top,Pewter,XL, $19.99 , $14.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3110,3110_R1_NVY-NAVY,619159989489,Classic Unisex V-Neck Scrub Top,Navy,2X, $21.99 , $16.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3110,3110_R1_NVY-NAVY,619159989496,Classic Unisex V-Neck Scrub Top,Navy,3X, $21.99 , $16.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3110,3110_R1_PEW-PEWTER,619159992311,Classic Unisex V-Neck Scrub Top,Pewter,2X, $21.99 , $16.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3110,3110_R1_PEW-PEWTER,619159992328,Classic Unisex V-Neck Scrub Top,Pewter,3X, $21.99 , $16.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_R_NVY-NAVY,619159989502,Classic Unisex Drawstring Scrub Pant,Navy,XS, $21.99 , $16.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_R_NVY-NAVY,619159989519,Classic Unisex Drawstring Scrub Pant,Navy,S, $21.99 , $16.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_R_NVY-NAVY,619159989526,Classic Unisex Drawstring Scrub Pant,Navy,M, $21.99 , $16.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_R_NVY-NAVY,619159989533,Classic Unisex Drawstring Scrub Pant,Navy,L, $21.99 , $16.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_R_NVY-NAVY,619159989540,Classic Unisex Drawstring Scrub Pant,Navy,XL, $21.99 , $16.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_R_PEW-PEWTER,619159992403,Classic Unisex Drawstring Scrub Pant,Pewter,XS, $21.99 , $16.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_R_PEW-PEWTER,619159992410,Classic Unisex Drawstring Scrub Pant,Pewter,S, $21.99 , $16.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_R_PEW-PEWTER,619159992427,Classic Unisex Drawstring Scrub Pant,Pewter,M, $21.99 , $16.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_R_PEW-PEWTER,619159992434,Classic Unisex Drawstring Scrub Pant,Pewter,L, $21.99 , $16.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_R_PEW-PEWTER,619159992441,Classic Unisex Drawstring Scrub Pant,Pewter,XL, $21.99 , $16.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_R1_NVY-NAVY,619159989557,Classic Unisex Drawstring Scrub Pant,Navy,2X, $23.99 , $17.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_R1_NVY-NAVY,619159989564,Classic Unisex Drawstring Scrub Pant,Navy,3X, $23.99 , $17.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_R1_PEW-PEWTER,619159992458,Classic Unisex Drawstring Scrub Pant,Pewter,2X, $23.99 , $17.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_R1_PEW-PEWTER,619159992465,Classic Unisex Drawstring Scrub Pant,Pewter,3X, $23.99 , $17.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_SH_NVY-NAVY,619159994605,Classic Unisex Drawstring Scrub Pant,Navy,Short L, $21.99 , $16.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_SH_NVY-NAVY,619159994599,Classic Unisex Drawstring Scrub Pant,Navy,Short M, $21.99 , $16.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_SH_NVY-NAVY,619159994582,Classic Unisex Drawstring Scrub Pant,Navy,Short S, $21.99 , $16.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_SH_NVY-NAVY,619159994612,Classic Unisex Drawstring Scrub Pant,Navy,Short XL, $21.99 , $16.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_SH_NVY-NAVY,619159994575,Classic Unisex Drawstring Scrub Pant,Navy,Short XS, $21.99 , $16.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_SH_PEW-PEWTER,619159994117,Classic Unisex Drawstring Scrub Pant,Pewter,Short L, $21.99 , $16.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_SH_PEW-PEWTER,619159994100,Classic Unisex Drawstring Scrub Pant,Pewter,Short M, $21.99 , $16.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_SH_PEW-PEWTER,619159994094,Classic Unisex Drawstring Scrub Pant,Pewter,Short S, $21.99 , $16.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_SH_PEW-PEWTER,619159994124,Classic Unisex Drawstring Scrub Pant,Pewter,Short XL, $21.99 , $16.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_SH_PEW-PEWTER,619159994087,Classic Unisex Drawstring Scrub Pant,Pewter,Short XS, $21.99 , $16.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_SH1_NVY-NAVY,619159994629,Classic Unisex Drawstring Scrub Pant,Navy,Short 2X, $23.99 , $17.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_SH1_NVY-NAVY,619159994636,Classic Unisex Drawstring Scrub Pant,Navy,Short 3X, $23.99 , $17.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_SH1_PEW-PEWTER,619159994131,Classic Unisex Drawstring Scrub Pant,Pewter,Short 2X, $23.99 , $17.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_SH1_PEW-PEWTER,619159994148,Classic Unisex Drawstring Scrub Pant,Pewter,Short 3X, $23.99 , $17.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_T_NVY-NAVY,619159994643,Classic Unisex Drawstring Scrub Pant,Navy,TXS, $21.99 , $16.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_T_NVY-NAVY,619159994650,Classic Unisex Drawstring Scrub Pant,Navy,TS, $21.99 , $16.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_T_NVY-NAVY,619159994667,Classic Unisex Drawstring Scrub Pant,Navy,TM, $21.99 , $16.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_T_NVY-NAVY,619159994674,Classic Unisex Drawstring Scrub Pant,Navy,TL, $21.99 , $16.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
